SRC_AREA    SRC_NWSE    TARGET_ARE  ENTRY_NAME  TRV_TIME    DEF_ENTRY   ENC1        ENC2        ENC3        ENC4        ENC5        ENC_PROB
// BG1:EE old areas
FH0100      E           FH0200      Ext0200w    0           1           N           N           N           N           N           5
FH0100      S           FH0600      Ext0600n    0           1           N           N           N           N           N           5

FH0200      E           FH0300      Ext0300w    0           1           N           N           N           N           N           5
FH0200      S           FH0700      Ext0700n    0           1           N           N           N           N           N           5
FH0200      W           FH0100      Ext0100e    0           1           N           N           N           N           N           5

FH0300      S           FH0800      Ext0800n    0           1           N           N           N           N           N           5
FH0300      W           FH0200      Ext0200e    0           1           N           N           N           N           N           5

FH0600      N           FH0100      Ext0100s    0           1           N           N           N           N           N           5
FH0600      E           FH0700      Ext0700w    0           1           N           N           N           N           N           5
FH0600      S           FH1100      Ext1100n    0           1           N           N           N           N           N           5

FH0700      N           FH0200      Ext0200s    0           1           N           N           N           N           N           5
FH0700      E           FH0800      Ext0800w    0           1           N           N           N           N           N           5
FH0700      S           FH1200      Ext1200n    0           1           N           N           N           N           N           5
FH0700      W           FH0600      Ext0600e    0           1           N           N           N           N           N           5

FH0800      N           FH0300      Ext0300s    0           1           N           N           N           N           N           5
FH0800      E           FH0900      Exit0800    0           8           N           N           N           N           N           5
FH0800      S           FH1300      Ext1300n    0           1           N           N           N           N           N           5
FH0800      W           FH0700      Ext0700e    0           1           N           N           N           N           N           5

FH1100      N           FH0600      Ext0600s    0           1           N           N           N           N           N           5
FH1100      E           FH1200      Ext1200w    0           1           N           N           N           N           N           5

FH1200      N           FH0700      Ext0700s    0           1           N           N           N           N           N           5
FH1200      E           FH1300      Ext1300w    0           1           N           N           N           N           N           5
FH1200      W           FH1100      Ext1100e    0           1           N           N           N           N           N           5

FH1300      N           FH0800      Ext0800s    0           1           N           N           N           N           N           5
FH1300      W           FH1200      Ext1200e    0           1           N           N           N           N           N           5

FH1600      N           FH1700      N           4           8           FH6001      N           N           N           N           50
FH1600      E           FH1700      N           4           8           FH6001      N           N           N           N           50
FH1600      S           FH2100      N           5           1           FH6001      N           N           N           N           50

FH2100      N           FH1600      N           5           4           FH6001      N           N           N           N           40
FH2100      E           FH2200      N           4           8           FH6000      N           N           N           N           20
FH2100      W           FH1600      N           5           4           FH6000      N           N           N           N           40

FH1700      N           FH1800      N           1           8           FH6001      N           N           N           N           30
FH1700      E           FH1800      N           1           8           FH6001      N           N           N           N           30
FH1700      S           FH1800      N           1           8           FH6001      N           N           N           N           30
FH1700      W           FH1600      N           4           2           FH6001      N           N           N           N           20

FH1800      W           FH1700      N           1           2           FH6001      N           N           N           N           50

FH2200      N           FH2100      Exit2200    4           2           FH6000      N           N           N           N           50
FH2200      E           FH2800      Exit2700    4           8           FH6000      N           N           N           N           20
FH2200      E           FH2300      Exit2800    3           4           FH6000      N           N           N           N           20
FH2200      S           FH2100      Exit2200    4           2           FH6000      N           N           N           N           50
FH2200      W           FH2100      Exit2200    3           2           FH6000      N           N           N           N           25

FH0400      S           FH0900      Exit0400    2           1           N           N           N           N           N           0

FH0900      N           FH0400      CDSouthExit 2           4           N           N           N           N           N           0
FH0900      N           FH1000      Exit1400    4           2           N           N           N           N           N           5
FH0900      S           FH1400      Exit0900    1           1           FH6100      FH6100      N           N           N           20
FH0900      W           FH0800      Ext0800e    0           2           N           N           N           N           N           5

FH1400      N           FH0900      Exit1400    1           4           FH6100      N           N           N           N           5
FH1400      N           FH1900      N           1           8           N           N           N           N           N           5
FH1400      E           FH2400      N           4           8           FH6000      FH5900      N           N           N           20
FH1400      E           FH1900      N           2           8           FH6001      N           N           N           FH6001      20
FH1400      S           FH2300      N           2           1           N           N           N           N           N           0

FH2300      N           FH1400      CDSouthExit 1           4           N           N           N           N           N           0
FH2300      E           FH2400      N           4           8           FH6000      FH5900      N           N           N           20
FH2300      S           FH2800      Exit2300    2           1           FH6100      N           N           N           N           5
FH2300      S           FH2200      N           2           2           FH6000      N           N           N           N           20
FH2300      W           FH2200      N           3           2           FH5801      N           N           N           N           25

FH1900      S           FH2400      N           2           1           FH6001      N           N           N           N           20
FH1900      W           FH1400      N           2           2           FH6001      N           N           N           N           5

FH2400      N           FH1900      N           3           4           FH6001      N           N           N           N           20
FH2400      S           FH2900      N           4           1           FH6000      FH5900      N           N           N           20
FH2400      S           FH3000      N           4           1           FH6001      FH5901      N           N           N           20
FH2400      W           FH2300      N           5           2           FH5900      N           N           N           N           20
FH2400      W           FH1400      N           4           2           FH5900      N           N           N           N           20
FH2400      W           FH1900      N           1           1           FH5701      N           N           N           N           5

FH2900      N           FH2400      N           4           4           FH5900      N           N           N           N           20
FH2900      E           FH3000      N           4           8           FH5900      N           N           N           N           20
FH2900      S           FH3400      N           4           1           FH5900      N           N           N           N           20
FH2900      W           FH2800      N           4           2           FH5900      N           N           N           N           20

FH3000      N           FH2400      N           5           4           FH5901      N           N           N           N           20
FH3000      S           FH3500      N           3           1           FH5601      N           N           N           N           20
FH3000      W           FH2900      N           4           2           FH5900      N           N           N           N           20

FH2800      N           FH2300      Exit2800    2           4           FH6100      N           N           N           N           5
FH2800      N           FH2200      N           4           2           FH5801      N           N           N           N           5
FH2800      E           FH2900      N           4           8           FH5900      N           N           N           N           20
FH2800      S           FH3300      Exit2800    1           1           N           N           N           N           N           0
FH2800      W           FH2700      Exit2800    2           2           FH6100      N           N           N           N           5
FH2800      W           FH2200      N           4           2           FH6000      N           N           N           N           20

FH2626      E           FH2700      Exit2600    1           8           N           N           N           N           N           0

FH3100      E           FH3200      Exit3100    4           8           FH5900      N           N           N           N           20
FH3100      S           FH3600      CDNorthExit 3           1           FH5800      N           N           N           N           20

FH2700      N           FH2800      Exit2700    2           8           FH6100      N           N           N           N           5
FH2700      E           FH2800      Exit2700    2           8           FH6100      N           N           N           N           5
FH2700      S           FH3200      N           2           1           FH5900      FH5900      N           N           N           20
FH2700      W           FH2626      Exit2700    1           2           N           N           N           N           N           0

FH3300      N           FH2800      Exit3300    1           4           FH6100      N           N           N           N           5
FH3300      E           FH3400      N           0           8           N           N           N           N           N           0
FH3300      S           FH3800      Exit3800    0           1           N           N           N           N           N           15
FH3300      W           FH3200      Exit3300    2           2           N           N           N           N           N           0

FH3500      N           FH3000      N           3           4           FH5901      N           N           N           N           20
FH3500      S           FH4000      N           3           1           FH5600      FH5900      N           N           N           20
FH3500      W           FH3400      N           3           2           FH5600      N           N           N           N           20

FH3700      N           FH3200      N           4           4           FH5700      FH5900      N           N           N           20
FH3700      E           FH3800      N           6           8           FH5900      FH5700      N           N           N           20
FH3700      S           FH4200      N           2           1           FH5700      N           N           N           N           20
FH3700      W           FH3600      Exit3700    4           2           FH5900      FH5700      N           N           N           20
FH3700      W           FH4100      N           4           2           FH5700      N           N           N           N           20

FH3200      N           FH2700      N           2           4           FH5900      FH5900      N           N           N           20
FH3200      E           FH3300      Exit3200    2           8           N           N           N           N           N           0
FH3200      S           FH3700      N           4           1           FH5900      N           N           N           N           20
FH3200      W           FH3100      Exit3200    4           2           FH5900      N           N           N           N           20

FH3800      N           FH3300      Exit3800    0           4           N           N           N           N           N           10
FH3800      E           FH3900      N           3           8           FH5600      N           N           N           N           10
FH3800      S           FH4300      Exit3800    1           1           FH6100      N           N           N           N           10
FH3800      W           FH3700      N           6           2           FH5900      FH5700      N           N           N           20

FH3400      N           FH2900      N           4           4           FH5900      N           N           N           N           20
FH3400      E           FH3500      N           3           8           FH5600      N           N           N           N           20
FH3400      S           FH3900      Exit3400    2           1           FH5600      N           N           N           N           20
FH3400      W           FH3300      CDEastExit  0           2           N           N           N           N           N           0

FH4000      N           FH3500      N           2           4           FH5600      N           N           N           N           20
FH4000      S           FH4500      N           2           1           FH5600      N           N           N           N           20
FH4000      W           FH3900      N           2           2           FH5600      N           N           N           N           20

FH3600      N           FH3100      CDSouthExit 3           4           FH5800      N           N           N           N           20
FH3600      E           FH3700      N           4           8           FH5900      FH5700      N           N           N           20
FH3600      S           FH4100      N           3           1           FH5801      FH5801      N           N           N           20

FH4200      N           FH3700      N           2           4           FH5700      N           N           N           N           20
FH4200      E           FH4300      N           3           8           FH5700      N           N           N           N           20
FH4200      S           FH4700      N           3           2           FH5700      N           N           N           N           50
FH4200      W           FH4100      N           4           2           FH5700      N           N           N           N           20
FH4200      W           FH4700      N           3           1           FH5700      N           N           N           N           50

FH4300      N           FH3800      Exit4300    1           2           FH6100      N           N           N           N           15
FH4300      E           FH4400      N           1           8           FH5700      N           N           N           N           20
FH4300      E           FH0500      Exit0400    3           8           N           N           N           N           N           5
FH4300      S           FH4800      Exit4300    2           1           N           N           N           N           N           0
FH4300      S           FH4900      N           2           1           N           N           N           N           N           0
FH4300      W           FH4200      N           3           2           FH5700      N           N           N           N           5

FH4400      N           FH3900      N           2           4           FH5600      N           N           N           N           20
FH4400      E           FH4500      N           4           8           FH5600      N           N           N           N           20
FH4400      S           FH4900      N           2           1           FH5900      N           N           N           N           20
FH4400      S           FH0500      Exit0400    3           1           N           N           N           N           N           5
FH4400      W           FH4300      N           2           2           FH5900      N           N           N           N           20

FH4500      N           FH4000      N           2           4           FH5600      N           N           N           N           20
FH4500      S           FH5000      N           3           1           FH5600      N           N           N           N           20
FH4500      S           FH0500      Exit0400    2           1           N           N           N           N           N           3
FH4500      W           FH4400      N           4           2           FH5600      N           N           N           N           20

FH4100      N           FH3600      N           2           4           FH5801      N           N           N           N           20
FH4100      E           FH4200      N           4           8           FH5700      N           N           N           N           20
FH4100      E           FH4700      N           4           1           FH5700      N           N           N           N           20
FH4100      S           FH3700      N           3           8           FH5700      N           N           N           N           20

FH4700      N           FH4100      N           3           4           FH5700      N           N           N           N           30
FH4700      N           FH4200      N           3           4           FH5700      N           N           N           N           20
FH4700      E           FH4800      N           5           8           FH5701      N           N           N           N           30
FH4700      S           FH5200      N           6           1           FH5701      N           N           N           N           20
FH4700      W           FH4600      N           4           2           FH5701      N           N           N           N           30

FH5200      N           FH4700      N           6           4           FH5701      N           N           N           N           20
FH5200      E           FH5300      N           4           8           FH5701      N           N           N           N           30
FH5200      S           FH5300      N           4           8           FH5701      N           N           N           N           30
FH5200      W           FH5100      Exit5200    6           2           FH5701      N           N           N           N           30

FH4800      N           FH4300      EXIT4800    1           4           N           N           N           N           N           0
FH4800      E           FH4900      N           0           8           N           N           N           N           N           0
FH4800      E           FH5400      N           1           1           FH5701      N           N           N           N           25
FH4800      S           FH5300      N           3           1           FH5700      N           N           N           N           20
FH4800      S           FH5400      N           1           1           OH1000      N           N           N           N           20
FH4800      W           FH4700      N           1           2           FH5701      N           N           N           N           50

FH4900      N           FH4300      EXIT4800    1           4           N           N           N           N           N           0
FH4900      N           FH4400      N           2           4           FH5700      N           N           N           N           20
FH4900      N           FH0500      Exit0400    3           4           N           N           N           N           N           5
FH4900      E           FH5000      N           4           8           FH5700      N           N           N           N           20
FH4900      E           FH5400      N           1           1           FH5701      N           N           N           N           25
FH4900      E           FH0500      Exit0400    1           4           N           N           N           N           N           5
FH4900      S           FH5400      N           2           1           OH1000      N           N           N           N           20
FH4900      W           FH4800      N           0           2           N           N           N           N           N           0

FH5000      N           OH2000      ENTRANCE    1           1           N           N           N           N           N           0
FH5000      N           FH4500      N           3           4           FH5600      N           N           N           N           20
FH5000      N           FH0500      Exit0400    2           1           N           N           N           N           N           5
FH5000      E           OH2000      ENTRANCE    1           1           N           N           N           N           N           0
FH5000      S           OH2000      ENTRANCE    1           1           N           N           N           N           N           0
FH5000      S           FH5500      N           3           1           FH5700      N           N           N           N           20
FH5000      W           OH2000      ENTRANCE    1           1           N           N           N           N           N           0
FH5000      W           FH4900      N           4           2           FH5900      N           N           N           N           20
FH5000      W           FH0500      Exit0400    1           1           N           N           N           N           N           5

FH3900      N           FH3400      N           2           4           FH5600      FH5900      N           N           N           20
FH3900      E           FH4000      N           2           8           FH5600      FH5900      N           N           N           20
FH3900      S           FH4400      N           2           1           FH5600      N           N           N           N           20
FH3900      W           FH3800      N           2           2           FH5600      N           N           N           N           20

FH4600      E           FH4700      N           3           8           FH5701      N           N           N           N           30
FH4600      S           FH5100      Exit5200    1           1           FH5700      N           N           N           N           50

FH5100      N           FH4600      N           1           4           FH5701      N           N           N           N           15
FH5100      E           FH5200      Exit5100    6           8           FH5701      N           N           N           N           30

FH5300      N           FH4800      N           3           4           FH5700      N           N           N           N           20
FH5300      E           FH5400      N           4           8           OH1000      N           N           N           N           30
FH5300      W           FH5200      N           4           2           FH5701      N           N           N           N           20

FH5400      N           FH4900      N           2           4           FH5900      N           N           N           N           20
FH5400      E           FH5500      N           3           8           FH5700      N           N           N           N           20
FH5400      S           OH3000      ENTRANCE    2           5           N           N           N           N           N           0
FH5400      W           FH5300      N           4           2           FH5700      N           N           N           N           20

FH5500      N           FH5000      N           3           4           FH5700      N           N           N           N           20
FH5500      W           FH5400      N           3           2           OH1000      N           N           N           N           20

FH1000      E           FH0900      Exit0400    4           1           N           N           N           N           N           5

FH0500      N           FH4500      N           3           4           N           N           N           N           N           5
FH0500      S           FH4900      N           2           1           N           N           N           N           N           5
FH0500      W           FH4400      N           4           2           N           N           N           N           N           5
// BG1:EE new areas
OH2000      N           FH5000      ExitOH1000  1           1           N           N           N           N           N           0
OH2000      E           FH5000      ExitOH1000  1           1           N           N           N           N           N           0
OH2000      S           FH5000      ExitOH1000  1           1           N           N           N           N           N           0
OH2000      W           FH5000      ExitOH1000  1           1           N           N           N           N           N           0

OH3000      N           FH5400      N           8           4           N           N           N           N           N           0

oh1000      N           FH5400      N           0           1           N           N           N           N           N           0
oh1000      E           FH5400      N           0           1           N           N           N           N           N           0
oh1000      S           FH5400      N           0           1           N           N           N           N           N           0
oh1000      W           FH5400      N           0           1           N           N           N           N           N           0
